id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,pitch_var,weight_var
6fvxos1qSHrIgOkKw4dhWS,0.524,0.878,5,-3.108,0,0.0346,0.0012,0,0.098,0.59,130.989,199187,4,16.71578376,0.025933224
7kMfu3KUydmrFVGEAhjtyl,0.594,0.874,0,-3.716,1,0.0815,0.0116,0,0.549,0.628,119.964,196413,4,9.757976888,0.023124689
4srpHYFHKjVGRDNHqRpWxi,0.755,0.832,2,-2.741,0,0.116,0.0746,1.27E-06,0.291,0.735,120.032,199693,4,16.33934331,0.018533727
0KpfYajJVVGgQ32Dby7e9i,0.675,0.885,1,-4.432,0,0.0436,0.217,0,0.086,0.768,97.03,216667,4,13.76558864,0.036646009
6tS3XVuOyu10897O3ae7bi,0.791,0.754,0,-3.729,1,0.0569,0.00446,0,0.163,0.425,125.014,234653,4,19.8129967,0.017429352
6lV2MSQmRIkycDScNtrBXO,0.66,0.867,6,-4.285,0,0.116,0.11,0,0.0368,0.377,93.033,180480,4,11.83014544,0.041944473
15JINEqzVMv3SvJTAXAKED,0.749,0.925,10,-5.034,1,0.227,0.241,0,0.52,0.641,86.989,263373,4,15.38197916,0.01858929
1DqdF42leyFIzqNDv9CjId,0.754,0.804,4,-3.177,1,0.0853,0.00332,0,0.0329,0.818,119.968,203867,4,15.97797746,0.098603225
5P5cGNzqh6A353N3ShDK6Y,0.697,0.921,0,-3.75,1,0.0391,0.00305,3.65E-05,0.0831,0.721,118.99,294573,4,17.76693038,0.018076772
1CdqVF1ywD0ZO1zXtB9yWa,0.666,0.899,8,-4.676,1,0.028,0.00155,0,0.0677,0.629,122.05,186267,4,16.47026442,0.025390011
59dLtGBS26x7kc0rHbaPrq,0.688,0.853,10,-5.814,1,0.0493,0.386,0,0.0862,0.743,103.993,268320,4,12.36714232,0.016858244
0TyOpxlWwDx98bjkIVHUgY,0.762,0.748,0,-4.15,0,0.033,0.0266,0,0.348,0.851,110.009,199027,4,12.52270287,0.025664586
3iL2l5gUqyPS6vDwJFgJTR,0.732,0.659,8,-6.089,1,0.225,0.109,0,0.141,0.575,148.001,288133,4,14.44738161,0.009878889
4nVyHATevhl5RC6Qmoko5H,0.659,0.935,10,-2.739,0,0.107,0.0253,0,0.0653,0.73,129.048,231787,4,16.73848019,0.015012162
1IaYWv32nFFMdljBIjMY5T,0.827,0.821,3,-5.864,1,0.0419,0.00748,0.0015,0.115,0.684,122.017,220627,4,11.92572849,0.013803863
55qBw1900pZKfXJ6Q9A2Lc,0.719,0.804,10,-4.581,1,0.0355,0.0132,3.02E-06,0.139,0.605,119.999,227760,4,17.09854598,0.014956844
7BqBn9nzAq8spo5e7cZ0dJ,0.637,0.843,5,-5.413,1,0.0432,0.0151,0,0.0876,0.434,109.012,220733,4,13.16805709,0.064751346
2DPYlWl50ydYsnnuryL5aX,0.837,0.515,7,-4.065,0,0.0793,0.103,0,0.233,0.769,129.001,227840,4,10.78420697,0.02852627
2igwFfvr1OAGX9SKDCPBwO,0.504,0.96,8,-1.55,0,0.391,0.0271,0,0.545,0.766,173.519,276920,4,13.22739585,0.039585025
5tXyNhNcsnn7HbcABntOSf,0.666,0.878,7,-2.85,0,0.0973,0.03,0,0.0828,0.669,119.932,222160,4,15.65682979,0.027972331
2M9ULmQwTaTGmAdXaXpfz5,0.633,0.673,6,-6.403,0,0.258,0.297,0,0.206,0.659,86.776,211160,4,13.41923855,0.017591747
7Ie9W94M7OjPoZVV216Xus,0.855,0.954,0,-1.19,0,0.264,0.529,0,0.205,0.668,114.635,248133,5,13.84512313,0.010505788
5vlEg2fT4cFWAqU5QptIpQ,0.706,0.751,9,-6.323,1,0.0708,0.173,0,0.168,0.195,91.031,182307,4,14.0267971,0.01467034
38xWaVFKaxZlMFvzNff2aW,0.63,0.698,10,-4.51,1,0.0244,0.173,0,0.0789,0.529,94.023,261427,4,13.86700907,0.020583476
4AboqNl74jNDpJhPfqYDmj,0.829,0.607,1,-3.876,1,0.0897,0.0049,0,0.0986,0.766,120.044,187067,4,15.47751445,0.010902458
